Loaded 3528 per-layer records from src/TruncGPTQ/tuning_results_20260314_120603/

=== METHOD / EPS SUMMARY ===
threshold_method       eps  runs  mean_rel_err  std_rel_err   mean_rank  mean_ppl
             abs  0.000001     1      0.056252     0.022662 5180.698413  8.819189
layer_24.self_attn.q_proj     0.035202     0.084609       0.049407       687      4096
     layer_20.mlp.up_proj     0.078777     0.128119       0.049342      3437      4095
 layer_4.self_attn.k_proj     0.033251     0.082288       0.049037      2011      4086
layer_18.self_attn.k_proj     0.035806     0.084710       0.048904      1279      4096
   layer_25.mlp.gate_proj     0.045939     0.094715       0.048776      2794      4094
   layer_28.mlp.down_proj     0.085466     0.134057       0.048591      5695     12288
   layer_23.mlp.gate_proj     0.046364     0.094943       0.048579      2842      4095
layer_19.self_attn.q_proj     0.032018     0.079570       0.047552      1154      4096
    layer_4.mlp.down_proj     0.078497     0.125977       0.047480      4616     12166
   layer_30.mlp.gate_proj     0.048798     0.095875       0.047077      2953      4094
   layer_31.mlp.gate_proj     0.052870     0.099598       0.046728      3051      4095
   layer_28.mlp.gate_proj     0.046161     0.092879       0.046718      2875      4094
   layer_22.mlp.gate_proj     0.048241     0.094508       0.046267      2913      4095
layer_15.self_attn.k_proj     0.035312     0.081551       0.046239      1384      4096
   layer_33.mlp.gate_proj     0.056263     0.102497       0.046234      3058      4096
   layer_30.mlp.down_proj     0.077465     0.123387       0.045922      5353     12288
 layer_4.self_attn.q_proj     0.031144     0.077014       0.045870      2011      4086
   layer_27.mlp.gate_proj     0.044761     0.090485       0.045724      2873      4094
   layer_34.mlp.down_proj     0.041170     0.086721       0.045551      2820     12288
   layer_31.mlp.down_proj     0.081148     0.126091       0.044943      6066     12288
   layer_35.mlp.down_proj     0.034469     0.079284       0.044815       534     12288
 layer_0.self_attn.o_proj     0.023380     0.068194       0.044814      1300      4096
layer_17.self_attn.q_proj     0.034667     0.079404       0.044737      1506      4096
   layer_32.mlp.gate_proj     0.056293     0.100161       0.043868      3148      4094
layer_12.self_attn.k_proj     0.036737     0.080557       0.043820      1883      4096
layer_18.self_attn.q_proj     0.032241     0.076058       0.043817      1279      4096
    layer_1.mlp.down_proj     0.075699     0.119015       0.043316      2836     12166
layer_13.self_attn.k_proj     0.039142     0.082444       0.043302      1690      4096
   layer_26.mlp.gate_proj     0.044540     0.087701       0.043161      2940      4094
   layer_29.mlp.gate_proj     0.045450     0.088595       0.043145      2975      4094
layer_14.self_attn.k_proj     0.034104     0.077233       0.043129      1744      4096
layer_11.self_attn.k_proj     0.040202     0.083111       0.042909      2228      4096
layer_33.self_attn.q_proj     0.043836     0.086663       0.042827       579      4096
 layer_5.self_attn.q_proj     0.029849     0.071760       0.041911      1706      4093
 layer_6.self_attn.q_proj     0.032469     0.073829       0.041360      1630      4093
     layer_18.mlp.up_proj     0.079701     0.120745       0.041044      3575      4094
     layer_17.mlp.up_proj     0.078226     0.119131       0.040905      3548      4094
layer_16.self_attn.k_proj     0.038282     0.078811       0.040529      1707      4096
layer_35.self_attn.o_proj     0.042265     0.081819       0.039554      1962      4096
layer_15.self_attn.q_proj     0.029870     0.069188       0.039318      1384      4096
 layer_1.self_attn.q_proj     0.015959     0.054930       0.038971      1121      4075
   layer_19.mlp.gate_proj     0.054061     0.092827       0.038766      3347      4095
 layer_5.self_attn.k_proj     0.027065     0.065014       0.037949      1706      4093
     layer_13.mlp.up_proj     0.081689     0.119323       0.037634      3657      4094
 layer_1.self_attn.k_proj     0.015251     0.052631       0.037380      1121      4075
 layer_3.self_attn.k_proj     0.022759     0.059655       0.036896      1333      4080
layer_14.self_attn.q_proj     0.029021     0.065739       0.036718      1744      4096
layer_16.self_attn.q_proj     0.034500     0.071139       0.036639      1707      4096
 layer_9.self_attn.k_proj     0.044454     0.080998       0.036544      2180      4094
 layer_6.self_attn.k_proj     0.028632     0.065163       0.036531      1630      4093
 layer_3.self_attn.q_proj     0.022549     0.058929       0.036380      1333      4080
     layer_12.mlp.up_proj     0.083792     0.119202       0.035410      3687      4094
layer_13.self_attn.q_proj     0.031413     0.066487       0.035074      1690      4096
layer_12.self_attn.q_proj     0.029309     0.064228       0.034919      1883      4096
   layer_21.mlp.gate_proj     0.053130     0.088018       0.034888      3343      4094
layer_10.self_attn.k_proj     0.039403     0.074073       0.034670      2659      4095
layer_11.self_attn.q_proj     0.032407     0.066964       0.034557      2228      4096
    layer_8.mlp.down_proj     0.092308     0.125914       0.033606     10524     12288
      layer_7.mlp.up_proj     0.087724     0.121254       0.033530      3687      4091
     layer_10.mlp.up_proj     0.087304     0.120818       0.033514      3687      4094
     layer_11.mlp.up_proj     0.084814     0.118277       0.033463      3687      4094
   layer_20.mlp.gate_proj     0.052904     0.086162       0.033258      3437      4095
      layer_9.mlp.up_proj     0.089232     0.121819       0.032587      3687      4093
     layer_14.mlp.up_proj     0.082106     0.114643       0.032537      3687      4094
     layer_15.mlp.up_proj     0.081136     0.113419       0.032283      3682      4094
 layer_8.self_attn.k_proj     0.038866     0.070890       0.032024      2435      4095
      layer_8.mlp.up_proj     0.086716     0.118365       0.031649      3687      4092
 layer_7.self_attn.k_proj     0.031472     0.062403       0.030931      1445      4093
    layer_3.mlp.down_proj     0.085175     0.115793       0.030618      3345     12166
     layer_16.mlp.up_proj     0.081480     0.111439       0.029959      3687      4094
 layer_9.self_attn.q_proj     0.035235     0.064506       0.029271      2180      4094
layer_10.self_attn.q_proj     0.032661     0.061410       0.028749      2659      4095
   layer_18.mlp.gate_proj     0.053550     0.081746       0.028196      3575      4094
 layer_7.self_attn.q_proj     0.027895     0.055775       0.027880      1445      4093
   layer_17.mlp.gate_proj     0.051293     0.078652       0.027359      3548      4094
 layer_8.self_attn.q_proj     0.032857     0.060188       0.027331      2435      4095
   layer_13.mlp.gate_proj     0.051072     0.074559       0.023487      3657      4094
